pdb_id,classification,method
4cj6,ISOMERASE,X-RAY DIFFRACTION
5mek,TRANSFERASE,X-RAY DIFFRACTION
6j4k,TRANSCRIPTION,X-RAY DIFFRACTION
3s42,LYASE,X-RAY DIFFRACTION
3gon,TRANSFERASE,X-RAY DIFFRACTION
4nhb,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5ibe,OXIDOREDUCTASE,X-RAY DIFFRACTION
6cbs,REPLICATION,X-RAY DIFFRACTION
6k6i,MEMBRANE PROTEIN,X-RAY DIFFRACTION
6zqr,SUGAR BINDING PROTEIN,X-RAY DIFFRACTION
6lrz,CYTOSOLIC PROTEIN,X-RAY DIFFRACTION
3q9w,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
6jo0,MEMBRANE PROTEIN,X-RAY DIFFRACTION
4r37,TRANSFERASE,X-RAY DIFFRACTION
3o5r,ISOMERASE,X-RAY DIFFRACTION
6jlv,OXIDOREDUCTASE,X-RAY DIFFRACTION
3qcd,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
2pwb,HYDROLASE,X-RAY DIFFRACTION
3vt7,HORMONE RECEPTOR,X-RAY DIFFRACTION
3ebo,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
6c69,IMMUNE SYSTEM,X-RAY DIFFRACTION
1n2r,IMMUNE SYSTEM,X-RAY DIFFRACTION
7b6b,HYDROLASE,X-RAY DIFFRACTION
3dsj,LYASE,X-RAY DIFFRACTION
5j5l,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
4jvl,TRANSFERASE,X-RAY DIFFRACTION
2od6,UNKNOWN FUNCTION,X-RAY DIFFRACTION
5ibd,OXIDOREDUCTASE,X-RAY DIFFRACTION
6j8q,HYDROLASE,X-RAY DIFFRACTION
5ax0,PROTON TRANSPORT,X-RAY DIFFRACTION
3gmq,IMMUNE SYSTEM,X-RAY DIFFRACTION
8jds,OXIDOREDUCTASE,X-RAY DIFFRACTION
2pog,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
3r5t,METAL TRANSPORT,X-RAY DIFFRACTION
2etb,TRANSPORT PROTEIN,X-RAY DIFFRACTION
1xpm,TRANSFERASE,X-RAY DIFFRACTION
2v62,TRANSFERASE,X-RAY DIFFRACTION
5kws,OXIDOREDUCTASE,X-RAY DIFFRACTION
5upt,TRANSFERASE,X-RAY DIFFRACTION
5fvj,TRANSFERASE,X-RAY DIFFRACTION
4lrt,Lyase/OXIDOREDUCTASE,X-RAY DIFFRACTION
6g96,TRANSFERASE,X-RAY DIFFRACTION
4ze6,HYDROLASE,X-RAY DIFFRACTION
5cts,OXO-ACID-LYASE,X-RAY DIFFRACTION
1zps,HYDROLASE,X-RAY DIFFRACTION
5aob,HYDROLASE,X-RAY DIFFRACTION
4tlr,HYDROLASE,X-RAY DIFFRACTION
8inj,TRANSFERASE,X-RAY DIFFRACTION
2pr5,"FLAVOPROTEIN, SIGNALING PROTEIN",X-RAY DIFFRACTION
6j4b,ISOMERASE,X-RAY DIFFRACTION
7flg,SPLICING,X-RAY DIFFRACTION
6v5m,HYDROLASE,X-RAY DIFFRACTION
5ynt,TRANSFERASE,X-RAY DIFFRACTION
8ie6,TRANSFERASE,X-RAY DIFFRACTION
4rfr,OXIDOREDUCTASE/INHIBITOR,X-RAY DIFFRACTION
5uxy,TRANSFERASE,X-RAY DIFFRACTION
3vtc,HORMONE RECEPTOR,X-RAY DIFFRACTION
5h2d,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
4psb,PLANT PROTEIN,X-RAY DIFFRACTION
3sy1,pyridoxal phosphate binding,X-RAY DIFFRACTION
3g1r,OXIDOREDUCTASE,X-RAY DIFFRACTION
4tmt,TRANSLATION,X-RAY DIFFRACTION
5i03,TRANSFERASE,X-RAY DIFFRACTION
5ytm,OXIDOREDUCTASE,X-RAY DIFFRACTION
7q2c,TRANSFERASE,X-RAY DIFFRACTION
3n12,HYDROLASE,X-RAY DIFFRACTION
3gze,HYDROLASE,X-RAY DIFFRACTION
5kzv,SIGNALING PROTEIN,X-RAY DIFFRACTION
4znv,TRANSCRIPTION,X-RAY DIFFRACTION
7cl8,OXIDOREDUCTASE,X-RAY DIFFRACTION
6rnk,MEMBRANE PROTEIN,X-RAY DIFFRACTION
7jfz,HYDROLASE,X-RAY DIFFRACTION
5hj5,HYDROLASE,X-RAY DIFFRACTION
5x9i,HYDROLASE,X-RAY DIFFRACTION
6dcm,BLOOD CLOTTING,X-RAY DIFFRACTION
8ur2,CYTOKINE,X-RAY DIFFRACTION
7w06,TRANSCRIPTION,X-RAY DIFFRACTION
3uzy,OXIDOREDUCTASE,X-RAY DIFFRACTION
4s39,OXIDOREDUCTASE,X-RAY DIFFRACTION
2wo1,TRANSFERASE,X-RAY DIFFRACTION
2b00,HYDROLASE,X-RAY DIFFRACTION
6kfd,LYASE,X-RAY DIFFRACTION
3gkj,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5oei,TRANSPORT PROTEIN,X-RAY DIFFRACTION
8jdt,OXIDOREDUCTASE,X-RAY DIFFRACTION
4fyr,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
7v0h,OXIDOREDUCTASE,X-RAY DIFFRACTION
1osf,CELL CYCLE,X-RAY DIFFRACTION
6d6l,signaling protein/agonist,X-RAY DIFFRACTION
7okv,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2wjr,TRANSPORT PROTEIN,X-RAY DIFFRACTION
6mne,OXIDOREDUCTASE,X-RAY DIFFRACTION
4qag,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
2exv,ELECTRON TRANSPORT,X-RAY DIFFRACTION
8gdi,OXIDOREDUCTASE,X-RAY DIFFRACTION
2evk,OXYGEN STORAGE/TRANSPORT,X-RAY DIFFRACTION
3gdb,HYDROLASE,X-RAY DIFFRACTION
5ojg,OXIDOREDUCTASE,X-RAY DIFFRACTION
7vl7,TRANSFERASE,X-RAY DIFFRACTION
8jdr,OXIDOREDUCTASE,X-RAY DIFFRACTION
6bth,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
6oox,OXIDOREDUCTASE,X-RAY DIFFRACTION
4f0v,HYDROLASE,X-RAY DIFFRACTION
6b9i,TRANSFERASE,X-RAY DIFFRACTION
7fg1,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2uuu,TRANSFERASE,X-RAY DIFFRACTION
4ytt,ISOMERASE,X-RAY DIFFRACTION
7vvc,HYDROLASE,X-RAY DIFFRACTION
4ha4,HYDROLASE,X-RAY DIFFRACTION
1x09,TRANSFERASE,X-RAY DIFFRACTION
3vhv,TRANSCRIPTION/INHIBITOR,X-RAY DIFFRACTION
5ljg,retinol-binding protein,X-RAY DIFFRACTION
6o3r,HYDROLASE,X-RAY DIFFRACTION
8fjo,OXIDOREDUCTASE/SUBSTRATE,X-RAY DIFFRACTION
1rjk,hormone/growth factor receptor,X-RAY DIFFRACTION
